Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY,29-01-2021 09:15:00,30700.70,30715.10,30589.30,30676.30,0,0
BANKNIFTY,29-01-2021 09:16:00,30672.70,30680.30,30621.30,30678.00,0,0
BANKNIFTY,29-01-2021 09:17:00,30683.40,30704.70,30636.30,30680.40,0,0
BANKNIFTY,29-01-2021 09:18:00,30690.40,30690.80,30652.50,30652.50,0,0
BANKNIFTY,29-01-2021 09:19:00,30651.90,30651.90,30619.40,30650.00,0,0
BANKNIFTY,29-01-2021 09:20:00,30648.80,30723.20,30648.80,30701.70,0,0
BANKNIFTY,29-01-2021 09:21:00,30702.80,30723.60,30696.30,30707.70,0,0
BANKNIFTY,29-01-2021 09:22:00,30703.80,30710.50,30656.50,30657.40,0,0
BANKNIFTY,29-01-2021 09:23:00,30656.90,30680.50,30651.50,30662.90,0,0
BANKNIFTY,29-01-2021 09:24:00,30656.00,30677.50,30652.50,30655.90,0,0
BANKNIFTY,29-01-2021 09:25:00,30651.70,30653.50,30604.80,30604.80,0,0
BANKNIFTY,29-01-2021 09:26:00,30604.70,30639.00,30578.10,30631.80,0,0
BANKNIFTY,29-01-2021 09:27:00,30630.30,30632.20,30599.20,30606.40,0,0
BANKNIFTY,29-01-2021 09:28:00,30609.00,30619.00,30593.70,30612.20,0,0
BANKNIFTY,29-01-2021 09:29:00,30613.30,30618.40,30564.20,30595.70,0,0
BANKNIFTY,29-01-2021 09:30:00,30597.00,30646.90,30597.00,30614.30,0,0
BANKNIFTY,29-01-2021 09:31:00,30610.80,30610.80,30553.50,30575.50,0,0
BANKNIFTY,29-01-2021 09:32:00,30575.50,30589.50,30552.80,30583.00,0,0
BANKNIFTY,29-01-2021 09:33:00,30585.20,30612.30,30585.00,30593.50,0,0
BANKNIFTY,29-01-2021 09:34:00,30595.00,30595.00,30547.00,30547.00,0,0
BANKNIFTY,29-01-2021 09:35:00,30546.50,30578.60,30542.70,30542.70,0,0
BANKNIFTY,29-01-2021 09:36:00,30537.00,30601.00,30528.80,30590.80,0,0
BANKNIFTY,29-01-2021 09:37:00,30589.50,30597.00,30569.30,30576.50,0,0
BANKNIFTY,29-01-2021 09:38:00,30581.70,30620.00,30578.30,30605.30,0,0
BANKNIFTY,29-01-2021 09:39:00,30606.00,30606.00,30551.30,30552.40,0,0
BANKNIFTY,29-01-2021 09:40:00,30543.80,30570.80,30537.30,30551.40,0,0
BANKNIFTY,29-01-2021 09:41:00,30548.90,30559.70,30520.00,30555.80,0,0
BANKNIFTY,29-01-2021 09:42:00,30555.00,30556.60,30498.50,30512.70,0,0
BANKNIFTY,29-01-2021 09:43:00,30511.90,30531.50,30508.20,30524.80,0,0
BANKNIFTY,29-01-2021 09:44:00,30522.00,30522.00,30478.70,30484.00,0,0
BANKNIFTY,29-01-2021 09:45:00,30484.00,30512.40,30478.60,30504.50,0,0
BANKNIFTY,29-01-2021 09:46:00,30507.80,30514.60,30495.70,30511.80,0,0
BANKNIFTY,29-01-2021 09:47:00,30511.40,30515.10,30494.50,30507.30,0,0
BANKNIFTY,29-01-2021 09:48:00,30512.80,30512.80,30436.30,30469.50,0,0
BANKNIFTY,29-01-2021 09:49:00,30461.30,30487.70,30441.30,30485.70,0,0
BANKNIFTY,29-01-2021 09:50:00,30483.40,30534.80,30483.40,30534.80,0,0
BANKNIFTY,29-01-2021 09:51:00,30533.80,30556.00,30533.60,30538.50,0,0
BANKNIFTY,29-01-2021 09:52:00,30537.80,30545.80,30523.20,30530.70,0,0
BANKNIFTY,29-01-2021 09:53:00,30534.30,30562.30,30531.80,30562.30,0,0
BANKNIFTY,29-01-2021 09:54:00,30563.70,30563.70,30544.50,30552.80,0,0
BANKNIFTY,29-01-2021 09:55:00,30552.30,30558.80,30511.50,30512.70,0,0
BANKNIFTY,29-01-2021 09:56:00,30509.60,30509.60,30483.80,30499.70,0,0
BANKNIFTY,29-01-2021 09:57:00,30496.90,30518.70,30480.50,30496.00,0,0
BANKNIFTY,29-01-2021 09:58:00,30498.50,30498.50,30462.70,30472.20,0,0
BANKNIFTY,29-01-2021 09:59:00,30471.50,30475.50,30454.70,30462.60,0,0
BANKNIFTY,29-01-2021 10:00:00,30460.80,30460.80,30401.80,30443.30,0,0
BANKNIFTY,29-01-2021 10:01:00,30439.30,30441.90,30415.60,30417.80,0,0
BANKNIFTY,29-01-2021 10:02:00,30418.20,30435.40,30407.40,30431.40,0,0
BANKNIFTY,29-01-2021 10:03:00,30438.30,30458.80,30422.90,30454.90,0,0
BANKNIFTY,29-01-2021 10:04:00,30458.70,30486.50,30457.50,30464.70,0,0
BANKNIFTY,29-01-2021 10:05:00,30462.80,30463.90,30438.70,30463.60,0,0
BANKNIFTY,29-01-2021 10:06:00,30464.30,30500.70,30461.00,30489.00,0,0
BANKNIFTY,29-01-2021 10:07:00,30489.50,30491.80,30479.60,30491.80,0,0
BANKNIFTY,29-01-2021 10:08:00,30485.50,30491.50,30475.50,30490.00,0,0
BANKNIFTY,29-01-2021 10:09:00,30487.30,30497.30,30480.50,30487.90,0,0
BANKNIFTY,29-01-2021 10:10:00,30494.60,30522.80,30492.20,30501.50,0,0
BANKNIFTY,29-01-2021 10:11:00,30494.70,30515.80,30494.70,30509.70,0,0
BANKNIFTY,29-01-2021 10:12:00,30509.30,30509.70,30470.80,30479.50,0,0
BANKNIFTY,29-01-2021 10:13:00,30480.90,30484.80,30466.00,30466.40,0,0
BANKNIFTY,29-01-2021 10:14:00,30469.30,30473.50,30447.70,30470.50,0,0
BANKNIFTY,29-01-2021 10:15:00,30469.00,30517.10,30467.50,30517.10,0,0
BANKNIFTY,29-01-2021 10:16:00,30517.50,30522.40,30492.40,30502.70,0,0
BANKNIFTY,29-01-2021 10:17:00,30504.30,30531.50,30497.80,30507.50,0,0
BANKNIFTY,29-01-2021 10:18:00,30503.40,30508.10,30473.30,30477.10,0,0
BANKNIFTY,29-01-2021 10:19:00,30479.50,30502.90,30478.00,30483.00,0,0
BANKNIFTY,29-01-2021 10:20:00,30479.20,30479.90,30450.20,30450.20,0,0
BANKNIFTY,29-01-2021 10:21:00,30437.00,30446.20,30422.10,30431.70,0,0
BANKNIFTY,29-01-2021 10:22:00,30434.90,30440.20,30409.70,30409.70,0,0
BANKNIFTY,29-01-2021 10:23:00,30410.00,30410.00,30379.60,30389.20,0,0
BANKNIFTY,29-01-2021 10:24:00,30387.90,30396.20,30365.00,30380.50,0,0
BANKNIFTY,29-01-2021 10:25:00,30378.30,30382.50,30358.80,30359.80,0,0
BANKNIFTY,29-01-2021 10:26:00,30357.30,30357.30,30326.50,30342.70,0,0
BANKNIFTY,29-01-2021 10:27:00,30336.00,30395.40,30328.40,30389.90,0,0
